Ticket #,date_time, $ ,Customer Name,job_name_clean,job code,material_clean,final_direction,Year,Truck #_clean,tax_exempt,id_truck,id_mat,material,id_cust,Trucksize
170376,2026-01-02T09:58:00,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,Parkview Dr.,other clean hard fill,IN,2026,MID902,N,110,18.0,Other Clean Hard Fill,87,Axle 1
170377,2026-01-05T07:49:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DEV5,N,54,18.0,Other Clean Hard Fill,106,Axle 4_5
170378,2026-01-05T08:08:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DEV3,N,52,18.0,Other Clean Hard Fill,106,Axle 4_5
170379,2026-01-05T08:19:00,$120.00 ,Mike Coates Construction Co.,RTA,RTA,other clean hard fill,IN,2026,MIKE108,N,205,18.0,Other Clean Hard Fill,88,TriAxle
170380,2026-01-05T08:26:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DC33,N,38,18.0,Other Clean Hard Fill,106,Axle 4_5
170381,2026-01-05T08:27:00,$275.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#304 recycled concrete,OUT,2026,DC33,N,38,4.0,#304 Recycled Concrete,106,Axle 4_5
170382,2026-01-05T08:32:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DEV7,N,56,18.0,Other Clean Hard Fill,106,Axle 4_5
170383,2026-01-05T08:32:00,$275.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#304 recycled concrete,OUT,2026,DEV7,N,56,4.0,#304 Recycled Concrete,106,Axle 4_5
170384,2026-01-05T09:13:00,$108.00 ,Don Wartko Construction,Bayberry Rd. - Northfield,Bayberry Rd. - Northfield,sand screened,OUT,2026,POND15,N,206,21.0,Sand Screened,49,Tandem
170385,2026-01-05T09:20:00,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,Parkview Dr.,broken concrete,IN,2026,MID909,N,113,11.0,Broken Concrete,87,Axle 1
170386,2026-01-05T09:22:00,$120.00 ,Mike Coates Construction Co.,RTA,RTA,other clean hard fill,IN,2026,MIKE108,N,205,18.0,Other Clean Hard Fill,88,TriAxle
170387,2026-01-05T09:31:00,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,Parkview Dr.,other clean hard fill,IN,2026,MID902,N,110,18.0,Other Clean Hard Fill,87,Axle 1
170388,2026-01-05T09:40:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DEV5,N,54,18.0,Other Clean Hard Fill,106,Axle 4_5
170389,2026-01-05T09:40:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DEV3,N,52,18.0,Other Clean Hard Fill,106,Axle 4_5
170390,2026-01-05T09:48:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DEV7,N,56,18.0,Other Clean Hard Fill,106,Axle 4_5
170391,2026-01-05T09:48:00,$308.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#1&2 recycled concrete,OUT,2026,DEV7,N,56,1.0,#1&2 Recycled Concrete,106,Axle 4_5
170392,2026-01-05T09:54:00,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,Parkview Dr.,other clean hard fill,IN,2026,MID900,N,108,18.0,Other Clean Hard Fill,87,Axle 1
170393,2026-01-05T09:54:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DC33,N,38,18.0,Other Clean Hard Fill,106,Axle 4_5
170394,2026-01-05T09:55:00,$308.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#1&2 recycled concrete,OUT,2026,DC33,N,38,1.0,#1&2 Recycled Concrete,106,Axle 4_5
170395,2026-01-05T09:59:00,$120.00 ,Mike Coates Construction Co.,RTA,RTA,other clean hard fill,IN,2026,MIKE111,N,207,18.0,Other Clean Hard Fill,88,TriAxle
170396,2026-01-05T10:01:00,$75.00 ,Utilities Construction Co.,Lee Rd.,Lee Rd.,broken concrete,IN,2026,UT33,N,176,11.0,Broken Concrete,139,Axle 1
170397,2026-01-05T10:17:00,$120.00 ,Mike Coates Construction Co.,RTA,RTA,other clean hard fill,IN,2026,MIKE108,N,205,18.0,Other Clean Hard Fill,88,TriAxle
