Trucksize, $ ,Customer Name,job_name_clean,job code,material_clean,final_direction,date_time,Truck #_clean,material_materials,id_materials,material_clean_materials,direction_materials,id_trucks,truck_number_trucks,trucking_company_trucks,notes_trucks,truck_size_trucks,phone_trucks,license_plate_trucks,active_trucks,truck_number_clean_trucks,id_customers,customer_name_customers,full_address_customers,contact_person_customers,phone_number_customers,notes_customers,job_code_alljobs,job_name_alljobs,customer_alljobs,tax_exempt_alljobs,active_alljobs,source_updated_at_alljobs
Axle 4_5, $165.00 ,"Miller Pipeline, LLC",Lee Rd.,Lee Rd.,Broken Concrete,IN,2026-04-01T10:10:00,hel44,Broken Concrete,11,broken concrete,IN,276,HEL44,Legacy Data (Unknown Hauler),,Axle 4_5,,,True,hel44,89,"Miller Pipeline, LLC","PO Box 34141, Indianapolis, IN, 46234",Nancy Hunt,3176535361,apinfo@millerpipeline.com,Lee Rd.,Lee Rd.,Utilities Construction Co.,N,1,2026-01-05T10:01:00
Axle 4_5, $165.00 ,"Miller Pipeline, LLC",Lee Rd.,Lee Rd.,Other Clean Hard Fill (rubble & mixed material),IN,2026-04-01T12:32:00,hel44,Other Clean Hard Fill (rubble & mixed material),18,other clean hard fill (rubble & mixed material),IN,276,HEL44,Legacy Data (Unknown Hauler),,Axle 4_5,,,True,hel44,89,"Miller Pipeline, LLC","PO Box 34141, Indianapolis, IN, 46234",Nancy Hunt,3176535361,apinfo@millerpipeline.com,Lee Rd.,Lee Rd.,Utilities Construction Co.,N,1,2026-01-05T10:01:00
Hydrovac, $500.00 ,"Miller Pipeline, LLC",Lee Rd.,Lee Rd.,Slop,IN,2026-04-01T12:50:00,mil7457,Slop,23,slop,IN,280,MIL7457,Legacy Data (Unknown Hauler),,Hydrovac,,,True,mil7457,89,"Miller Pipeline, LLC","PO Box 34141, Indianapolis, IN, 46234",Nancy Hunt,3176535361,apinfo@millerpipeline.com,Lee Rd.,Lee Rd.,Utilities Construction Co.,N,1,2026-01-05T10:01:00
Axle 4_5, $275.00 ,MREX,Heinen's Warehouse (2722),2722,Broken Asphalt (or material mixed asphalt),IN,2026-04-02T08:02:00,dev10,Broken Asphalt (or material mixed asphalt),10,broken asphalt (or material mixed asphalt),IN,48,DEV10,DEVIL'S TRUCKING,,Axle 4_5,440-343-4059,,True,dev10,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2722,Heinen's Warehouse (2722),"ESI Constructors, Inc.",N,1,
Axle 4_5, $275.00 ,MREX,Heinen's Warehouse (2722),2722,Broken Asphalt (or material mixed asphalt),IN,2026-04-02T08:15:00,dev5,Broken Asphalt (or material mixed asphalt),10,broken asphalt (or material mixed asphalt),IN,54,DEV5,DEVIL'S TRUCKING,,Axle 4_5,440-343-4059,,True,dev5,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2722,Heinen's Warehouse (2722),"ESI Constructors, Inc.",N,1,
Axle 4_5, $165.00 ,MREX,Heinen's Warehouse (2722),2722,Other Clean Hard Fill (rubble & mixed material),IN,2026-04-02T08:20:00,dev11,Other Clean Hard Fill (rubble & mixed material),18,other clean hard fill (rubble & mixed material),IN,49,DEV11,DEVIL'S TRUCKING,,Axle 4_5,440-343-4059,PJX3422,True,dev11,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2722,Heinen's Warehouse (2722),"ESI Constructors, Inc.",N,1,
Axle 4_5, $165.00 ,MREX,Heinen's Warehouse (2722),2722,Other Clean Hard Fill (rubble & mixed material),IN,2026-04-02T08:34:00,dev1,Other Clean Hard Fill (rubble & mixed material),18,other clean hard fill (rubble & mixed material),IN,273,DEV1,Legacy Data (Unknown Hauler),,Axle 4_5,,,True,dev1,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2722,Heinen's Warehouse (2722),"ESI Constructors, Inc.",N,1,
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Other Clean Hard Fill (rubble & mixed material),IN,2026-04-02T08:35:00,mak22,Other Clean Hard Fill (rubble & mixed material),18,other clean hard fill (rubble & mixed material),IN,97,MAK22,Makupson Logistics,,Axle 4_5,,Temp tag,True,mak22,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Broken Concrete,IN,2026-04-02T08:43:00,c2h21,Broken Concrete,11,broken concrete,IN,220,C2H21,Legacy Data (Unknown Hauler),,Axle 4_5,,,True,c2h21,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Broken Concrete,IN,2026-04-02T08:44:00,c2h22,Broken Concrete,11,broken concrete,IN,240,C2H22,Legacy Data (Unknown Hauler),,Axle 4_5,,,True,c2h22,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Other Clean Hard Fill (rubble & mixed material),IN,2026-04-02T08:46:00,dev7,Other Clean Hard Fill (rubble & mixed material),18,other clean hard fill (rubble & mixed material),IN,56,DEV7,DEVIL'S TRUCKING,,Axle 4_5,440-343-4059,PLR4496,True,dev7,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Broken Concrete,IN,2026-04-02T08:50:00,c2h19,Broken Concrete,11,broken concrete,IN,235,C2H19,Legacy Data (Unknown Hauler),,Axle 4_5,,,True,c2h19,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Broken Concrete,IN,2026-04-02T08:59:00,gace36,Broken Concrete,11,broken concrete,IN,274,GACE36,Legacy Data (Unknown Hauler),,Axle 4_5,,,True,gace36,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Other Clean Hard Fill (rubble & mixed material),IN,2026-04-02T09:00:00,mak23,Other Clean Hard Fill (rubble & mixed material),18,other clean hard fill (rubble & mixed material),IN,98,MAK23,Makupson Logistics,,Axle 4_5,,,True,mak23,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Other Clean Hard Fill (rubble & mixed material),IN,2026-04-02T09:05:00,jdh05,Other Clean Hard Fill (rubble & mixed material),18,other clean hard fill (rubble & mixed material),IN,88,JDH05,JDH MANAGEMENT LLC,,Axle 4_5,,Temp Tag,True,jdh05,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Broken Concrete,IN,2026-04-02T09:07:00,gace26,Broken Concrete,11,broken concrete,IN,239,GACE26,Legacy Data (Unknown Hauler),,Axle 4_5,,,True,gace26,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Other Clean Hard Fill (rubble & mixed material),IN,2026-04-02T09:10:00,rht247,Other Clean Hard Fill (rubble & mixed material),18,other clean hard fill (rubble & mixed material),IN,161,RHT247,RH 24 7 TRUCKING,,Axle 4_5,,PNT2020,True,rht247,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 6, $180.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Broken Concrete,IN,2026-04-02T09:13:00,pp1,Broken Concrete,11,broken concrete,IN,431,PP1,Legacy Data (Unknown Hauler),,Axle 6,,,True,pp1,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Broken Concrete,IN,2026-04-02T09:15:00,mak21,Broken Concrete,11,broken concrete,IN,237,MAK21,Legacy Data (Unknown Hauler),,Axle 4_5,,,True,mak21,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Broken Concrete,IN,2026-04-02T09:30:00,c2h21,Broken Concrete,11,broken concrete,IN,220,C2H21,Legacy Data (Unknown Hauler),,Axle 4_5,,,True,c2h21,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Broken Concrete,IN,2026-04-02T09:31:00,c2h19,Broken Concrete,11,broken concrete,IN,235,C2H19,Legacy Data (Unknown Hauler),,Axle 4_5,,,True,c2h19,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
Axle 1, $75.00 ,InfraSource Construction LLC.,#402951771,#402951771,Broken Concrete,IN,2026-04-02T09:36:00,infra1399,Broken Concrete,11,broken concrete,IN,200,Infra1399,InfraSource Construction,,Axle 1,,RB53939,True,infra1399,150,InfraSource Construction LLC.,,,,,#402951771,#402951771,InfraSource Construction LLC.,New,1,2026-05-11T18:36:09.993771+00:00
Axle 4_5, $165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,Broken Concrete,IN,2026-04-02T09:38:00,dev7,Broken Concrete,11,broken concrete,IN,56,DEV7,DEVIL'S TRUCKING,,Axle 4_5,440-343-4059,PLR4496,True,dev7,93,MREX,"8616 Euclid-Chardon Road, Kirtland, OH, 44094",,,,2777,Cuy Co Central Svc Camp (2777),Gilbane Building Company,Y,1,
