Ticket #,Date,Time,Truck #,Trucksize, $ ,Customer Name,job_name_clean,job code,material_clean,final_direction,Year,date_time,Truck #_clean
170376,2026-01-02,9:58 AM,mid902,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-02T09:58:00,mid902
170377,2026-01-05,7:49 AM,dev5,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T07:49:00,dev5
170378,2026-01-05,8:08 AM,dev3,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T08:08:00,dev3
170379,2026-01-05,8:19 AM,mike108,TriAxle,$120.00 ,Mike Coates Construction Co.,RTA,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T08:19:00,mike108
170380,2026-01-05,8:26 AM,dc33,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T08:26:00,dc33
170381,2026-01-05,8:27 AM,dc33,Axle 4_5,$275.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#304 Recycled Concrete,OUT,2026,2026-01-05T08:27:00,dc33
170382,2026-01-05,8:32 AM,dev7,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T08:32:00,dev7
170383,2026-01-05,8:32 AM,dev7,Axle 4_5,$275.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#304 Recycled Concrete,OUT,2026,2026-01-05T08:32:00,dev7
170384,2026-01-05,9:13 AM,pond15,Tandem,$108.00 ,Don Wartko Construction,Bayberry Rd. - Northfield,,sand (screened),OUT,2026,2026-01-05T09:13:00,pond15
170385,2026-01-05,9:20 AM,mid909,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,Broken Concrete,IN,2026,2026-01-05T09:20:00,mid909
170386,2026-01-05,9:22 AM,mike108,TriAxle,$120.00 ,Mike Coates Construction Co.,RTA,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T09:22:00,mike108
170387,2026-01-05,9:31 AM,mid902,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T09:31:00,mid902
170388,2026-01-05,9:40 AM,dev5,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T09:40:00,dev5
170389,2026-01-05,9:40 AM,dev3,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T09:40:00,dev3
170390,2026-01-05,9:48 AM,dev7,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T09:48:00,dev7
170391,2026-01-05,9:48 AM,dev7,Axle 4_5,$308.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#1&2 Recycled Concrete,OUT,2026,2026-01-05T09:48:00,dev7
170392,2026-01-05,9:54 AM,mid900,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T09:54:00,mid900
170393,2026-01-05,9:54 AM,dc33,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T09:54:00,dc33
170394,2026-01-05,9:55 AM,dc33,Axle 4_5,$308.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#1&2 Recycled Concrete,OUT,2026,2026-01-05T09:55:00,dc33
170395,2026-01-05,9:59 AM,mike111,TriAxle,$120.00 ,Mike Coates Construction Co.,RTA,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T09:59:00,mike111
170396,2026-01-05,10:01 AM,ut33,Axle 1,$75.00 ,Utilities Construction Co.,Lee Rd.,,Broken Concrete,IN,2026,2026-01-05T10:01:00,ut33
170397,2026-01-05,10:17 AM,mike108,TriAxle,$120.00 ,Mike Coates Construction Co.,RTA,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T10:17:00,mike108
170398,2026-01-05,10:30 AM,mid909,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,Broken Concrete,IN,2026,2026-01-05T10:30:00,mid909
170399,2026-01-05,10:50 AM,dev7,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T10:50:00,dev7
170400,2026-01-05,10:50 AM,dev7,Axle 4_5,$275.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#304 Recycled Concrete,OUT,2026,2026-01-05T10:50:00,dev7
170401,2026-01-05,10:54 AM,dev3,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T10:54:00,dev3
170402,2026-01-05,10:54 AM,dev3,Axle 4_5,$275.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#304 Recycled Concrete,OUT,2026,2026-01-05T10:54:00,dev3
170403,2026-01-05,10:58 AM,dev5,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T10:58:00,dev5
170404,2026-01-05,10:59 AM,dev5,Axle 4_5,$275.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#304 Recycled Concrete,OUT,2026,2026-01-05T10:59:00,dev5
170405,2026-01-05,11:10 AM,dc33,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T11:10:00,dc33
170406,2026-01-05,11:11 AM,dc33,Axle 4_5,$275.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#304 Recycled Concrete,OUT,2026,2026-01-05T11:11:00,dc33
170407,2026-01-05,11:15 AM,mike108,TriAxle,$120.00 ,Mike Coates Construction Co.,RTA,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T11:15:00,mike108
170408,2026-01-05,11:18 AM,mid909,Axle 1,$75.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T11:18:00,mid909
170409,2026-01-05,11:47 AM,dev10,Axle 4_5,$66.00 ,Petty Group LLC,W. 26th Apartments (2743),2743,bulk sand (pre-screened) IN,IN,2026,2026-01-05T11:47:00,dev10
170410,2026-01-05,11:50 AM,dev7,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T11:50:00,dev7
170411,2026-01-05,11:50 AM,dev7,Axle 4_5,$308.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#1&2 Recycled Concrete,OUT,2026,2026-01-05T11:50:00,dev7
170412,2026-01-05,11:54 AM,dev3,Axle 4_5,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill (rubble & mixed material),IN,2026,2026-01-05T11:54:00,dev3
170413,2026-01-05,11:55 AM,dev3,Axle 4_5,$275.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,#304 Recycled Concrete,OUT,2026,2026-01-05T11:55:00,dev3
