id,ticket_number,ticket_year,ticket_sequence,direction,created_at,job_id,job_code_snapshot,job_name_snapshot,customer_snapshot,truck_id,truck_number_snapshot,material_id,material_name_snapshot,quantity,unit,notes,pdf_path,pdf_blob,tax_exempt,cost,active,modified_to_id
2673,DT-2026-000001,2026,1,IN,2026-01-02T09:58:00,,Parkview Dr.,Parkview Dr.,"Middleton Mechanical, LLC",110.0,MID902,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,75.0,True,
2674,DT-2026-000002,2026,2,IN,2026-01-05T07:49:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,54.0,DEV5,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
2675,DT-2026-000003,2026,3,IN,2026-01-05T08:08:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,52.0,DEV3,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
2676,DT-2026-000004,2026,4,IN,2026-01-05T08:19:00,,RTA,RTA,Mike Coates Construction Co.,205.0,MIKE108,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,120.0,True,
2677,DT-2026-000005,2026,5,IN,2026-01-05T08:26:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,38.0,DC33,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
2678,DT-2026-000006,2026,6,OUT,2026-01-05T08:27:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,38.0,DC33,4.0,#304 Recycled Concrete,1.0,Load,,,,N,275.0,True,
2679,DT-2026-000007,2026,7,IN,2026-01-05T08:32:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,56.0,DEV7,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
2680,DT-2026-000008,2026,8,OUT,2026-01-05T08:32:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,56.0,DEV7,4.0,#304 Recycled Concrete,1.0,Load,,,,N,275.0,True,
2681,DT-2026-000009,2026,9,OUT,2026-01-05T09:13:00,,Bayberry Rd. - Northfield,Bayberry Rd. - Northfield,Don Wartko Construction,206.0,POND15,21.0,sand (screened),1.0,Load,,,,N,108.0,True,
2682,DT-2026-000010,2026,10,IN,2026-01-05T09:20:00,,Parkview Dr.,Parkview Dr.,"Middleton Mechanical, LLC",113.0,MID909,11.0,Broken Concrete,1.0,Load,,,,N,75.0,True,
